imdb_url,title,year,runtime,genre,rating,votes,plot
https://www.imdb.com/title/tt7229666/,Chhakka Panja 2,2017,138 min,"Comedy, Drama",6.6,290,Chhakka Panja 2 continues with the new story of Raja and his friend at the village. 
https://www.imdb.com/title/tt8393764/,Chhakka Panja 3,2018,145 min,Comedy,6.3,96,"When she learns about the worst condition of the school, the headmaster's daughter decides to stay in the village to make it a better place."
https://www.imdb.com/title/tt7672868/,Intu Mintu Londonma,2018,120 min,Romance,7.3,71,"When Ishan (Dhiraj Magar) and Meera (Samragyee Rajya Laxmi Shah) meet by chance through their common friends in London, they unknowingly fall for each other only to discover their fate depends on a difficult choice."
https://www.imdb.com/title/tt10942220/,Kabaddi Kabaddi Kabaddi,2019,115 min,"Comedy, Drama, Romance",8.6,9,"A heartbroken man falls in love with a woman who loves someone else, leading to a humorous and emotional journey of unrequited love, friendship, and selfless sacrifice."
https://www.imdb.com/title/tt8387542/,Captain,2019,135 min,"Drama, Sport",3.2,46,Father's dedication to guiding his son to becoming a better footballer.
https://www.imdb.com/title/tt8622286/,Bulbul,2019,95 min,Drama,7.1,18,A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.
https://www.imdb.com/title/tt5225580/,Kabaddi Kabaddi,2015,135 min,"Comedy, Drama",7.9,343,Kaji dreams of marrying Maiya but things go wrong when Bamkaji returns to the village who also wants to marry Maiya.
https://www.imdb.com/title/tt8677256/,Nai Nabhannu La 2,2014,142 min,Romance,6.9,7,"A young boy battling cancer falls in love with a girl and pursues his dream of becoming a singer to impress her, leading to an emotional journey of love, hope, and sacrifice."
https://www.imdb.com/title/tt7868256/,Saili,2019,140 min,"Drama, Romance",8.5,17,"A young woman from a remote Himalayan village dreams of becoming a singer, but her aspirations are challenged by poverty, social expectations, and the hardships of rural life as she struggles to find her own identity and future.
"
https://www.imdb.com/title/tt1999130/,Death Zone: Cleaning Mount Everest,2018,99 min,"Documentary, Adventure, Drama",7.7,102,"A team of 20 elite Nepali climbers venture into the Death Zone of Mount Everest to restore their sacred mountain and the contaminated water source of 1.3 billion people. They ascend the highest point on the planet to the 150 bodies of deceased climbers and 100,000 pounds of rubbish that remain on the high slopes of Everest. This is the self-documented story of their life-threatening journey."
https://www.imdb.com/title/tt8881326/,Jatrai Jatra,2019,137 min,Comedy,8.2,52,The story begins from where it was ended in part 1. The three guys got out from the jail after serving three years of sentencing and they part their ways but they again fall in trap of greed. This time it is about a gold. There are many twist and turns.
https://www.imdb.com/title/tt0304435/,Muna Madan,2003,163 min,Drama,7,104,"An epic tragedy, based on Nepal's most famous epic poem. Madan, a lower-class worker, is forced by poverty and mounting debts to go to Lhasa, Tibet, leaving behind his lonely mother and beloved wife, Muna. However, tragedy befalls him on the way home."
https://www.imdb.com/title/tt3700482/,Jhola,2013,90 min,"Drama, History",7.7,249,"After her husband's death, a girl is forced to die due to the Sati practice in Nepal."
https://www.imdb.com/title/tt6705126/,Prem Geet,2016,138 min,Romance,7.5,30,"Prem and Geet meet each other on the way to Kagbeni. Geet escaped from home because of her grandmother's continuous insistence to marry. Prem was on the way due to his personal deeds, but he was too pressurized to marry. Both fakes their marriage to get rid of continuous insistence, but ultimately fall in love then after. But their fake marriage creates problems and ultimately they are separated from each other. Both try to convince their parents, but fails.geet decided to die and she meet with prem .at last geet sucide and prem also decided to die ."
https://www.imdb.com/title/tt7786264/,Shatru Gate,2018,138 min,"Comedy, Drama",6.8,100,A wedding conflict between two families.
https://www.imdb.com/title/tt7676212/,Jhyanakuti,2017,138 min,"Comedy, Drama, Romance",8,27,A hilarious ride of a married couple n their adorable 8 months old baby boy. Beautiful Dhampus as It's set and majestic views and mountains as the backdrop.
